cantidad;valor_unitario;valor_total;costo;producto;subcategoria;categoria;punto_venta;ciudad;provincia;pais;region
4;32.39;129.56;166.29;490Short-Sleeve Classic Jersey, L;Jerseys;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
5;32.39;161.95;207.86;491Short-Sleeve Classic Jersey, XL;Jerseys;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
4;32.39;129.56;166.29;491Short-Sleeve Classic Jersey, XL;Jerseys;Clothing;Farthermost Bike Shop;Carson;California;United States;North America
2;24.29;48.58;35.96;545LL Road Pedal;Pedals;Components;Farthermost Bike Shop;Carson;California;United States;North America
3;37.25;111.75;82.7;546ML Road Pedal;Pedals;Components;Farthermost Bike Shop;Carson;California;United States;North America
1;48.59;48.59;35.96;547HL Road Pedal;Pedals;Components;Farthermost Bike Shop;Carson;California;United States;North America
1;1020.59;1020.59;1082.51;580Road-350-W Yellow, 40;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
3;1020.59;3061.77;3247.53;580Road-350-W Yellow, 40;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
1;1020.59;1020.59;1082.51;581Road-350-W Yellow, 42;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
1;1020.59;1020.59;1082.51;581Road-350-W Yellow, 42;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
2;1020.59;2041.18;2165.02;582Road-350-W Yellow, 44;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
1;1020.59;1020.59;1082.51;582Road-350-W Yellow, 44;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
2;1020.59;2041.18;2165.02;583Road-350-W Yellow, 48;Road Bikes;Bikes;Farthermost Bike Shop;Carson;California;United States;North America
1;1376.99;1376.99;1251.98;359Mountain-200 Black, 38;Mountain Bikes;Bikes;Trailblazing Sports;Cerritos;California;United States;North America
4;1376.99;5507.96;5007.93;361Mountain-200 Black, 42;Mountain Bikes;Bikes;Trailblazing Sports;Cerritos;California;United States;North America
1;1376.99;1376.99;1251.98;363Mountain-200 Black, 46;Mountain Bikes;Bikes;Trailblazing Sports;Cerritos;California;United States;North America
2;41.99;83.98;52.35;474Women's Mountain Shorts, S;Shorts;Clothing;Trailblazing Sports;Cerritos;California;United States;North America
4;41.99;167.96;104.71;476Women's Mountain Shorts, L;Shorts;Clothing;Trailblazing Sports;Cerritos;California;United States;North America
2;149.87;299.74;273.57;531LL Mountain Frame - Black, 42;Mountain Frames;Components;Trailblazing Sports;Cerritos;California;United States;North America
2;149.87;299.74;273.57;532LL Mountain Frame - Black, 44;Mountain Frames;Components;Trailblazing Sports;Cerritos;California;United States;North America
1;242.99;242.99;179.82;558HL Crankset;Cranksets;Components;Trailblazing Sports;Cerritos;California;United States;North America
1;1391.99;1391.99;1265.62;353Mountain-200 Silver, 38;Mountain Bikes;Bikes;Trailblazing Sports;Cerritos;California;United States;North America
2;26.72;53.44;39.55;398LL Mountain Handlebars;Handlebars;Components;Trailblazing Sports;Cerritos;California;United States;North America
1;37.15;37.15;27.49;400ML Mountain Handlebars;Handlebars;Components;Trailblazing Sports;Cerritos;California;United States;North America
4;218.45;873.8;797.5;511ML Mountain Frame-W - Silver, 40;Mountain Frames;Components;Trailblazing Sports;Cerritos;California;United States;North America
1;23.48;23.48;17.38;516ML Mountain Seat/Saddle;Saddles;Components;Trailblazing Sports;Cerritos;California;United States;North America
1;158.43;158.43;144.59;524LL Mountain Frame - Silver, 42;Mountain Frames;Components;Trailblazing Sports;Cerritos;California;United States;North America
2;48.59;97.18;71.92;544HL Mountain Pedal;Pedals;Components;Trailblazing Sports;Cerritos;California;United States;North America
2;158.43;316.86;289.19;551LL Mountain Frame - Silver, 40;Mountain Frames;Components;Trailblazing Sports;Cerritos;California;United States;North America
1;54.89;54.89;40.62;552Front Derailleur;Derailleurs;Components;Trailblazing Sports;Cerritos;California;United States;North America
2;63.9;127.8;94.57;555Front Brakes;Brakes;Components;Trailblazing Sports;Cerritos;California;United States;North America
5;12.14;60.7;44.93;559Chain;Chains;Components;Trailblazing Sports;Cerritos;California;United States;North America
1;1466.01;1466.01;1554.95;374Road-250 Black, 44;Road Bikes;Bikes;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
1;1466.01;1466.01;1554.95;374Road-250 Black, 44;Road Bikes;Bikes;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
1;1466.01;1466.01;1554.95;376Road-250 Black, 48;Road Bikes;Bikes;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
1;1466.01;1466.01;1554.95;376Road-250 Black, 48;Road Bikes;Bikes;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
2;323.99;647.98;687.3;584Road-750 Black, 58;Road Bikes;Bikes;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
1;858.9;858.9;868.63;240HL Road Frame - Red, 62;Road Frames;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
2;672.29;1344.58;1426.16;384Road-550-W Yellow, 40;Road Bikes;Bikes;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
2;672.29;1344.58;1426.16;386Road-550-W Yellow, 42;Road Bikes;Bikes;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
1;672.29;672.29;713.08;390Road-550-W Yellow, 48;Road Bikes;Bikes;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
4;72.16;288.64;213.6;408HL Road Handlebars;Handlebars;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
1;356.9;356.9;360.94;418ML Road Frame-W - Yellow, 38;Road Frames;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
1;356.9;356.9;360.94;418ML Road Frame-W - Yellow, 38;Road Frames;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
3;356.9;1070.7;1082.83;434ML Road Frame-W - Yellow, 44;Road Frames;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
3;356.9;1070.7;1082.83;434ML Road Frame-W - Yellow, 44;Road Frames;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
1;356.9;356.9;360.94;436ML Road Frame-W - Yellow, 48;Road Frames;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
1;5.39;5.39;3.36;481Racing Socks, M;Socks;Clothing;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
3;24.29;72.87;53.93;545LL Road Pedal;Pedals;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
3;24.29;72.87;53.93;545LL Road Pedal;Pedals;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
3;37.25;111.75;82.7;546ML Road Pedal;Pedals;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
1;37.25;37.25;27.57;546ML Road Pedal;Pedals;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
2;48.59;97.18;71.92;547HL Road Pedal;Pedals;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
1;48.59;48.59;35.96;547HL Road Pedal;Pedals;Components;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
1;1020.59;1020.59;1082.51;581Road-350-W Yellow, 42;Road Bikes;Bikes;Valley Bicycle Distributors;Citrus Heights;California;United States;North America
4;20.99;83.96;52.35;217Sport-100 Helmet, Black;Helmets;Accessories;Resale Services;Culver City;California;United States;North America
3;20.99;62.97;39.26;217Sport-100 Helmet, Black;Helmets;Accessories;Resale Services;Culver City;California;United States;North America
1;809.76;809.76;739.04;298HL Mountain Frame - Black, 42;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
2;1376.99;2753.98;2503.96;359Mountain-200 Black, 38;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
2;1376.99;2753.98;2503.96;359Mountain-200 Black, 38;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
3;1376.99;4130.97;3755.94;361Mountain-200 Black, 42;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
3;1376.99;4130.97;3755.94;361Mountain-200 Black, 42;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
2;1376.99;2753.98;2503.96;363Mountain-200 Black, 46;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
6;1376.99;8261.94;7511.89;363Mountain-200 Black, 46;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
3;14.69;44.07;27.48;465Half-Finger Gloves, M;Gloves;Clothing;Resale Services;Culver City;California;United States;North America
9;41.99;377.91;235.59;474Women's Mountain Shorts, S;Shorts;Clothing;Resale Services;Culver City;California;United States;North America
1;41.99;41.99;26.18;475Women's Mountain Shorts, M;Shorts;Clothing;Resale Services;Culver City;California;United States;North America
2;41.99;83.98;52.35;475Women's Mountain Shorts, M;Shorts;Clothing;Resale Services;Culver City;California;United States;North America
14;40.59;568.26;366.47;476Women's Mountain Shorts, L;Shorts;Clothing;Resale Services;Culver City;California;United States;North America
18;38.49;692.82;471.17;476Women's Mountain Shorts, L;Shorts;Clothing;Resale Services;Culver City;California;United States;North America
1;149.87;149.87;136.79;532LL Mountain Frame - Black, 44;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
2;149.87;299.74;273.57;532LL Mountain Frame - Black, 44;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
1;149.87;149.87;136.79;533LL Mountain Frame - Black, 48;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
1;323.99;323.99;294.58;596Mountain-500 Black, 40;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;323.99;323.99;294.58;596Mountain-500 Black, 40;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;323.99;323.99;294.58;597Mountain-500 Black, 42;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
2;323.99;647.98;589.16;598Mountain-500 Black, 44;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
4;323.99;1295.96;1178.32;598Mountain-500 Black, 44;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;323.99;323.99;294.58;599Mountain-500 Black, 48;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;323.99;323.99;294.58;599Mountain-500 Black, 48;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;20.99;20.99;13.09;214Sport-100 Helmet, Red;Helmets;Accessories;Resale Services;Culver City;California;United States;North America
3;20.99;62.97;39.26;222Sport-100 Helmet, Blue;Helmets;Accessories;Resale Services;Culver City;California;United States;North America
2;20.99;41.98;26.17;222Sport-100 Helmet, Blue;Helmets;Accessories;Resale Services;Culver City;California;United States;North America
4;5.39;21.56;27.69;225AWC Logo Cap;Caps;Clothing;Resale Services;Culver City;California;United States;North America
7;5.39;37.73;48.46;225AWC Logo Cap;Caps;Clothing;Resale Services;Culver City;California;United States;North America
2;29.99;59.98;76.98;231Long-Sleeve Logo Jersey, M;Jerseys;Clothing;Resale Services;Culver City;California;United States;North America
5;29.99;149.95;192.46;234Long-Sleeve Logo Jersey, L;Jerseys;Clothing;Resale Services;Culver City;California;United States;North America
3;29.99;89.97;115.48;234Long-Sleeve Logo Jersey, L;Jerseys;Clothing;Resale Services;Culver City;California;United States;North America
3;818.7;2456.1;2241.6;309HL Mountain Frame - Silver, 38;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
2;1391.99;2783.98;2531.24;353Mountain-200 Silver, 38;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
8;1391.99;11135.92;10124.96;353Mountain-200 Silver, 38;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
8;1391.99;11135.92;10124.96;355Mountain-200 Silver, 42;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
9;1391.99;12527.91;11390.58;355Mountain-200 Silver, 42;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;1391.99;1391.99;1265.62;357Mountain-200 Silver, 46;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
2;26.72;53.44;39.55;398LL Mountain Handlebars;Handlebars;Components;Resale Services;Culver City;California;United States;North America
1;37.15;37.15;27.49;400ML Mountain Handlebars;Handlebars;Components;Resale Services;Culver City;California;United States;North America
2;72.16;144.32;106.8;402HL Mountain Handlebars;Handlebars;Components;Resale Services;Culver City;California;United States;North America
2;38.1;76.2;47.5;471Classic Vest, S;Vests;Clothing;Resale Services;Culver City;California;United States;North America
9;38.1;342.9;213.74;471Classic Vest, S;Vests;Clothing;Resale Services;Culver City;California;United States;North America
7;38.1;266.7;166.24;472Classic Vest, M;Vests;Clothing;Resale Services;Culver City;California;United States;North America
5;2.99;14.95;9.33;477Water Bottle - 30 oz.;Bottles and Cages;Accessories;Resale Services;Culver City;California;United States;North America
5;2.99;14.95;9.33;477Water Bottle - 30 oz.;Bottles and Cages;Accessories;Resale Services;Culver City;California;United States;North America
2;72.0;144.0;89.76;483Hitch Rack - 4-Bike;Bike Racks;Accessories;Resale Services;Culver City;California;United States;North America
4;72.0;288.0;179.52;483Hitch Rack - 4-Bike;Bike Racks;Accessories;Resale Services;Culver City;California;United States;North America
5;4.77;23.85;14.87;484Bike Wash - Dissolver;Cleaners;Accessories;Resale Services;Culver City;California;United States;North America
7;4.77;33.39;20.81;484Bike Wash - Dissolver;Cleaners;Accessories;Resale Services;Culver City;California;United States;North America
4;32.99;131.96;82.27;487Hydration Pack - 70 oz.;Hydration Packs;Accessories;Resale Services;Culver City;California;United States;North America
6;32.39;194.34;249.43;488Short-Sleeve Classic Jersey, S;Jerseys;Clothing;Resale Services;Culver City;California;United States;North America
6;32.39;194.34;249.43;490Short-Sleeve Classic Jersey, L;Jerseys;Clothing;Resale Services;Culver City;California;United States;North America
4;32.39;129.56;166.29;490Short-Sleeve Classic Jersey, L;Jerseys;Clothing;Resale Services;Culver City;California;United States;North America
2;32.39;64.78;83.14;491Short-Sleeve Classic Jersey, XL;Jerseys;Clothing;Resale Services;Culver City;California;United States;North America
3;32.39;97.17;124.72;491Short-Sleeve Classic Jersey, XL;Jerseys;Clothing;Resale Services;Culver City;California;United States;North America
1;218.45;218.45;199.38;511ML Mountain Frame-W - Silver, 40;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
1;218.45;218.45;199.38;511ML Mountain Frame-W - Silver, 40;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
1;218.45;218.45;199.38;512ML Mountain Frame-W - Silver, 42;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
2;218.45;436.9;398.75;513ML Mountain Frame-W - Silver, 46;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
1;16.27;16.27;12.04;515LL Mountain Seat/Saddle;Saddles;Components;Resale Services;Culver City;California;United States;North America
3;158.43;475.29;433.78;524LL Mountain Frame - Silver, 42;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
3;158.43;475.29;433.78;524LL Mountain Frame - Silver, 42;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
1;158.43;158.43;144.59;525LL Mountain Frame - Silver, 44;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
2;24.29;48.58;35.96;542LL Mountain Pedal;Pedals;Components;Resale Services;Culver City;California;United States;North America
1;37.25;37.25;27.57;543ML Mountain Pedal;Pedals;Components;Resale Services;Culver City;California;United States;North America
1;48.59;48.59;35.96;544HL Mountain Pedal;Pedals;Components;Resale Services;Culver City;California;United States;North America
1;48.59;48.59;35.96;544HL Mountain Pedal;Pedals;Components;Resale Services;Culver City;California;United States;North America
1;158.43;158.43;144.59;551LL Mountain Frame - Silver, 40;Mountain Frames;Components;Resale Services;Culver City;California;United States;North America
4;461.69;1846.76;1679.11;587Mountain-400-W Silver, 38;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
3;461.69;1385.07;1259.34;587Mountain-400-W Silver, 38;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
7;461.69;3231.83;2938.45;588Mountain-400-W Silver, 40;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
5;461.69;2308.45;2098.89;588Mountain-400-W Silver, 40;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
3;461.69;1385.07;1259.34;589Mountain-400-W Silver, 42;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;461.69;461.69;419.78;589Mountain-400-W Silver, 42;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;461.69;461.69;419.78;590Mountain-400-W Silver, 46;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;461.69;461.69;419.78;590Mountain-400-W Silver, 46;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;338.99;338.99;308.22;591Mountain-500 Silver, 40;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;113.0;113.0;308.22;591Mountain-500 Silver, 40;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;338.99;338.99;308.22;592Mountain-500 Silver, 42;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
2;113.0;226.0;616.44;592Mountain-500 Silver, 42;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;338.99;338.99;308.22;593Mountain-500 Silver, 44;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
3;338.99;1016.97;924.65;594Mountain-500 Silver, 48;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;113.0;113.0;308.22;594Mountain-500 Silver, 48;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
1;338.99;338.99;308.22;595Mountain-500 Silver, 52;Mountain Bikes;Bikes;Resale Services;Culver City;California;United States;North America
